,ORI,DATA_YEAR,POPULATION
831,CA0191200,2016,105720
832,CA0191200,2015,105865
833,CA0191200,2014,105041
834,CA0191200,2013,104727
835,CA0191200,2012,105057
836,CA0191200,2011,104555
837,CA0191200,2010,103340
838,CA0191200,2009,103248
839,CA0191200,2008,103640
840,CA0191500,2017,97728
841,CA0191500,2016,98861
842,CA0191500,2015,99125
843,CA0191500,2014,98224
844,CA0191500,2013,97907
845,CA0191500,2012,98057
846,CA0191500,2011,97589
847,CA0191500,2010,96455
848,CA0191500,2009,93872
849,CA0191500,2008,94519
850,CA0191600,2017,48674
851,CA0191600,2016,49222
852,CA0191600,2015,49300
853,CA0191600,2014,48681
854,CA0191600,2013,48524
855,CA0191600,2012,48588
856,CA0191600,2011,48358
857,CA0191600,2010,47796
858,CA0191600,2009,46946
859,CA0191600,2008,47291
860,CA0191F00,2017,20814
861,CA0191F00,2016,21032
862,CA0191F00,2015,20970
863,CA0191F00,2014,20767
864,CA0191F00,2013,20762
865,CA0191F00,2012,20667
866,CA0191F00,2011,20569
867,CA0191F00,2010,20330
868,CA0191F00,2009,22469
869,CA0191F00,2008,22619
870,CA0191H0X,2017,37093
871,CA0191H0X,2016,36594
872,CA0191H0X,2015,36256
873,CA0191H0X,2014,35507
874,CA0191H0X,2013,34902
875,CA0191H0X,2012,34971
876,CA0191H0X,2011,34803
877,CA0191H0X,2010,34399
878,CA0191H0X,2009,36020
879,CA0191H0X,2008,36130
880,CA0191R0X,2017,216350
881,CA0191R0X,2016,219611
882,CA0191R0X,2015,211132
883,CA0191R0X,2014,206930
884,CA0191R0X,2013,204951
885,CA0191R0X,2012,179248
886,CA0191R0X,2011,178393
887,CA0191R0X,2010,176320
888,CA0191R0X,2009,171112
889,CA0191R0X,2008,171821
890,CA0192200,2017,116168
891,CA0192200,2016,117354
892,CA0192200,2015,117376
893,CA0192200,2014,116220
894,CA0192200,2013,115591
895,CA0192200,2012,115356
896,CA0192200,2011,114809
897,CA0192200,2010,113475
898,CA0192200,2009,122428
899,CA0192200,2008,123049
900,CA0192300,2017,16932
901,CA0192300,2016,17113
902,CA0192300,2015,17164
903,CA0192300,2014,16990
904,CA0192300,2013,16911
905,CA0192300,2012,16931
906,CA0192300,2011,16850
907,CA0192300,2010,16654
908,CA0192300,2009,16235
909,CA0192300,2008,16310
910,CA0192400,2017,60249
911,CA0192400,2016,60770
912,CA0192400,2015,60782
913,CA0192400,2014,60233
914,CA0192400,2013,59703
915,CA0192400,2012,59802
916,CA0192400,2011,59521
917,CA0192400,2010,58829
918,CA0192400,2009,58623
919,CA0192400,2008,58814
920,CA0192500,2017,202381
921,CA0192500,2016,202903
922,CA0192500,2015,202298
923,CA0192500,2014,197079
924,CA0192500,2013,195366
925,CA0192500,2012,194902
926,CA0192500,2011,193973
927,CA0192500,2010,191719
928,CA0192500,2009,197384
929,CA0192500,2008,197182
930,CA0192600,2017,52133
931,CA0192600,2016,52380
932,CA0192600,2015,51753
933,CA0192600,2014,51292
934,CA0192600,2013,50893
935,CA0192600,2012,50903
936,CA0192600,2011,50662
937,CA0192600,2010,50073
938,CA0192600,2009,49400
939,CA0192600,2008,49738
940,CA0192700,2017,14505
941,CA0192700,2016,14654
942,CA0192700,2015,14629
943,CA0192700,2014,14490
944,CA0192700,2013,14437
945,CA0192700,2012,14493
946,CA0192700,2011,14422
947,CA0192700,2010,14254
948,CA0192700,2009,15276
949,CA0192700,2008,15337
950,CA0192800,2017,88664
951,CA0192800,2016,89299
952,CA0192800,2015,88410
953,CA0192800,2014,86670
954,CA0192800,2013,86132
955,CA0192800,2012,85692
956,CA0192800,2011,85284
957,CA0192800,2010,84293
958,CA0192800,2009,84314
959,CA0192800,2008,84445
960,CA0192J0X,2017,12918
961,CA0192J0X,2016,13030
962,CA0192J0X,2015,13033
963,CA0192J0X,2014,12912
964,CA0192J0X,2013,12891
965,CA0192J0X,2012,12854
966,CA0192J0X,2011,12794
967,CA0192J0X,2010,12645
